file,timestamp,unit_type,segment_id,attempt,status,verdict,elapsed_ms,error_class,raw_chars,n_items
20260919T165457.988ZZ_01M2X9FBP4NX45QRYTP3BTZFB3_MultipleChoiceQuiz_seed1258_attempt0_response.json,2026-09-19T16:54:57.988341626Z,MultipleChoiceQuiz,01M2X9FAR5DN3V87AN6GN3ZWEG,0,error,,855,401_missing_api_key,0,
20260919T165457.998ZZ_01M2X9FBPE14RPEVJ36XVQXFVN_MultipleChoiceQuiz_seed1251_attempt0_response.json,2026-09-19T16:54:57.998785323Z,MultipleChoiceQuiz,01M2X9FAR55QXC5214YKSQ4XZF,0,error,,869,401_missing_api_key,0,
20260919T165457.998ZZ_01M2X9FBPEKEQKV1BT0RM4K2ZH_CompletionQuiz_seed1254_attempt0_response.json,2026-09-19T16:54:57.998795302Z,CompletionQuiz,01M2X9FAR5DCGN583YX2EF3S87,0,error,,867,401_missing_api_key,0,
20260919T165458.007ZZ_01M2X9FBPQHEZQ7TC8SDSBBEHA_CompletionQuiz_seed1251_attempt0_response.json,2026-09-19T16:54:58.00738382Z,CompletionQuiz,01M2X9FAR55QXC5214YKSQ4XZF,0,error,,874,401_missing_api_key,0,
20260919T165458.019ZZ_01M2X9FBQ30D73Q98TTR81B151_EssayQuiz_seed1254_attempt0_response.json,2026-09-19T16:54:58.019528053Z,EssayQuiz,01M2X9FAR5DCGN583YX2EF3S87,0,error,,890,401_missing_api_key,0,
20260919T165458.019ZZ_01M2X9FBQ3NTPE1C480ESJGWA2_MultipleChoiceQuiz_seed1254_attempt0_response.json,2026-09-19T16:54:58.019466472Z,MultipleChoiceQuiz,01M2X9FAR5DCGN583YX2EF3S87,0,error,,887,401_missing_api_key,0,
20260919T165458.038ZZ_01M2X9FBQPTG4PD6GKH52FFGZX_EssayQuiz_seed1251_attempt0_response.json,2026-09-19T16:54:58.03860742Z,EssayQuiz,01M2X9FAR55QXC5214YKSQ4XZF,0,error,,909,401_missing_api_key,0,
20260919T165458.041ZZ_01M2X9FBQSH4HV3TVMHAFTED1Q_EssayQuiz_seed1258_attempt0_response.json,2026-09-19T16:54:58.041436812Z,EssayQuiz,01M2X9FAR5DN3V87AN6GN3ZWEG,0,error,,911,401_missing_api_key,0,
20260919T165458.525ZZ_01M2X9FC6X6ASR7W0M9M9PFTM3_MultipleChoiceQuiz_seed1258_attempt1_response.json,2026-09-19T16:54:58.525176808Z,MultipleChoiceQuiz,01M2X9FAR5DN3V87AN6GN3ZWEG,1,error,,1392,401_missing_api_key,0,
20260919T165458.531ZZ_01M2X9FC73FMZ179B2AWTK08A0_MultipleChoiceQuiz_seed1254_attempt1_response.json,2026-09-19T16:54:58.531509514Z,MultipleChoiceQuiz,01M2X9FAR5DCGN583YX2EF3S87,1,error,,1399,401_missing_api_key,0,
